time,volumn
2018/1/20,599
2018/1/20 0:05,729
2018/1/20 0:10,739
2018/1/20 0:15,832
2018/1/20 0:20,689
2018/1/20 0:25,521
2018/1/20 0:30,629
2018/1/20 0:35,878
2018/1/20 0:40,918
2018/1/20 0:45,912
2018/1/20 0:50,882
2018/1/20 0:55,966
2018/1/20 1:00,939
2018/1/20 1:05,946
2018/1/20 1:10,997
2018/1/20 1:15,941
2018/1/20 1:20,949
2018/1/20 1:25,907
2018/1/20 1:30,950
2018/1/20 1:35,565
2018/1/20 1:40,479
2018/1/20 1:45,948
2018/1/20 1:50,935
2018/1/20 1:55,887
2018/1/20 2:00,963
2018/1/20 2:05,1008
2018/1/20 2:10,942
2018/1/20 2:15,930
2018/1/20 2:20,893
2018/1/20 2:25,887
2018/1/20 2:30,859
2018/1/20 2:35,932
2018/1/20 2:40,894
2018/1/20 2:45,527
2018/1/20 2:50,585
2018/1/20 2:55,939
2018/1/20 3:00,926
2018/1/20 3:05,962
2018/1/20 3:10,891
2018/1/20 3:15,932
2018/1/20 3:20,1017
2018/1/20 3:25,1012
2018/1/20 3:30,1089
2018/1/20 3:35,986
2018/1/20 3:40,997
2018/1/20 3:45,795
2018/1/20 3:50,837
2018/1/20 3:55,1046
2018/1/20 4:00,984
2018/1/20 4:05,1031
2018/1/20 4:10,1024
2018/1/20 4:15,1036
2018/1/20 4:20,978
2018/1/20 4:25,1034
2018/1/20 4:30,1063
2018/1/20 4:35,1002
2018/1/20 4:40,932
2018/1/20 4:45,958
2018/1/20 4:50,1129
2018/1/20 4:55,1024
2018/1/20 5:00,1115
2018/1/20 5:05,1039
2018/1/20 5:10,1002
2018/1/20 5:15,1049
2018/1/20 5:20,962
2018/1/20 5:25,996
2018/1/20 5:30,1125
2018/1/20 5:35,1110
2018/1/20 5:40,1021
2018/1/20 5:45,1100
2018/1/20 5:50,1030
2018/1/20 5:55,1068
2018/1/20 6:00,1136
2018/1/20 6:05,1111
2018/1/20 6:10,1036
2018/1/20 6:15,1144
2018/1/20 6:20,1179
2018/1/20 6:25,1140
2018/1/20 6:30,1139
2018/1/20 6:35,1144
2018/1/20 6:40,1179
2018/1/20 6:45,1190
2018/1/20 6:50,1032
2018/1/20 6:55,480
2018/1/20 7:00,451
2018/1/20 7:05,437
2018/1/20 7:10,725
2018/1/20 7:15,1105
2018/1/20 7:20,1640
2018/1/20 7:25,1635
2018/1/20 7:30,1600
2018/1/20 7:35,1385
2018/1/20 7:40,1243
2018/1/20 7:45,1356
2018/1/20 7:50,1446
2018/1/20 7:55,1384
2018/1/20 8:00,1334
2018/1/20 8:05,1319
2018/1/20 8:10,1400
2018/1/20 8:15,1333
2018/1/20 8:20,1293
2018/1/20 8:25,1418
2018/1/20 8:30,1316
2018/1/20 8:35,1446
2018/1/20 8:40,1272
2018/1/20 8:45,1270
2018/1/20 8:50,1259
2018/1/20 8:55,1377
2018/1/20 9:00,1315
2018/1/20 9:05,1300
2018/1/20 9:10,1379
2018/1/20 9:15,1449
2018/1/20 9:20,1187
2018/1/20 9:25,1336
2018/1/20 9:30,1349
2018/1/20 9:35,1354
2018/1/20 9:40,1322
2018/1/20 9:45,1354
2018/1/20 9:50,1265
2018/1/20 9:55,1353
2018/1/20 10:00,1257
2018/1/20 10:05,1390
2018/1/20 10:10,1376
